101000/900000 [==>...........................] - ETA: 39s - loss: 0.1597 - acc: 0.9353
102300/900000 [==>...........................] - ETA: 39s - loss: 0.1598 - acc: 0.9353
103600/900000 [==>...........................] - ETA: 39s - loss: 0.1598 - acc: 0.9353
105000/900000 [==>...........................] - ETA: 38s - loss: 0.1601 - acc: 0.9352
106300/900000 [==>...........................] - ETA: 38s - loss: 0.1601 - acc: 0.9352
107600/900000 [==>...........................] - ETA: 38s - loss: 0.1599 - acc: 0.9354
108900/900000 [==>...........................] - ETA: 38s - loss: 0.1599 - acc: 0.9353
110200/900000 [==>...........................] - ETA: 38s - loss: 0.1600 - acc: 0.9353
111300/900000 [==>...........................] - ETA: 38s - loss: 0.1600 - acc: 0.9352
112500/900000 [==>...........................] - ETA: 38s - loss: 0.1600 - acc: 0.9352
113800/900000 [==>...........................] - ETA: 37s - loss: 0.1598 - acc: 0.9353
115100/900000 [==>...........................] - ETA: 37s - loss: 0.1600 - acc: 0.9352
116400/900000 [==>...........................] - ETA: 37s - loss: 0.1602 - acc: 0.9351
117800/900000 [==>...........................] - ETA: 37s - loss: 0.1600 - acc: 0.9353
119000/900000 [==>...........................] - ETA: 37s - loss: 0.1603 - acc: 0.9352
120300/900000 [===>..........................] - ETA: 37s - loss: 0.1604 - acc: 0.9352
121600/900000 [===>..........................] - ETA: 37s - loss: 0.1604 - acc: 0.9352
122900/900000 [===>..........................] - ETA: 37s - loss: 0.1604 - acc: 0.9351
124200/900000 [===>..........................] - ETA: 36s - loss: 0.1606 - acc: 0.9351
125500/900000 [===>..........................] - ETA: 36s - loss: 0.1608 - acc: 0.9350
126900/900000 [===>..........................] - ETA: 36s - loss: 0.1608 - acc: 0.9350
128300/900000 [===>..........................] - ETA: 36s - loss: 0.1608 - acc: 0.9350
129700/900000 [===>..........................] - ETA: 36s - loss: 0.1609 - acc: 0.9350
131000/900000 [===>..........................] - ETA: 36s - loss: 0.1608 - acc: 0.9350
132400/900000 [===>..........................] - ETA: 36s - loss: 0.1608 - acc: 0.9349
133800/900000 [===>..........................] - ETA: 35s - loss: 0.1608 - acc: 0.9349
135100/900000 [===>..........................] - ETA: 35s - loss: 0.1606 - acc: 0.9350
136500/900000 [===>..........................] - ETA: 35s - loss: 0.1608 - acc: 0.9349
137900/900000 [===>..........................] - ETA: 35s - loss: 0.1608 - acc: 0.9350
139300/900000 [===>..........................] - ETA: 35s - loss: 0.1607 - acc: 0.9350
140600/900000 [===>..........................] - ETA: 35s - loss: 0.1608 - acc: 0.9349
142000/900000 [===>..........................] - ETA: 35s - loss: 0.1607 - acc: 0.9349
143300/900000 [===>..........................] - ETA: 35s - loss: 0.1606 - acc: 0.9350
144700/900000 [===>..........................] - ETA: 34s - loss: 0.1606 - acc: 0.9349
146000/900000 [===>..........................] - ETA: 34s - loss: 0.1605 - acc: 0.9350
147400/900000 [===>..........................] - ETA: 34s - loss: 0.1602 - acc: 0.9351
148700/900000 [===>..........................] - ETA: 34s - loss: 0.1604 - acc: 0.9350
150000/900000 [====>.........................] - ETA: 34s - loss: 0.1602 - acc: 0.9350
151300/900000 [====>.........................] - ETA: 34s - loss: 0.1603 - acc: 0.9350
152600/900000 [====>.........................] - ETA: 34s - loss: 0.1602 - acc: 0.9350
153900/900000 [====>.........................] - ETA: 34s - loss: 0.1600 - acc: 0.9350
155200/900000 [====>.........................] - ETA: 34s - loss: 0.1599 - acc: 0.9351
156500/900000 [====>.........................] - ETA: 33s - loss: 0.1601 - acc: 0.9350
157800/900000 [====>.........................] - ETA: 33s - loss: 0.1599 - acc: 0.9350
159100/900000 [====>.........................] - ETA: 33s - loss: 0.1600 - acc: 0.9349
160500/900000 [====>.........................] - ETA: 33s - loss: 0.1599 - acc: 0.9349
161800/900000 [====>.........................] - ETA: 33s - loss: 0.1601 - acc: 0.9349
163100/900000 [====>.........................] - ETA: 33s - loss: 0.1600 - acc: 0.9349
164400/900000 [====>.........................] - ETA: 33s - loss: 0.1597 - acc: 0.9350
165700/900000 [====>.........................] - ETA: 33s - loss: 0.1597 - acc: 0.9351
167100/900000 [====>.........................] - ETA: 33s - loss: 0.1595 - acc: 0.9351
168400/900000 [====>.........................] - ETA: 33s - loss: 0.1596 - acc: 0.9350
169800/900000 [====>.........................] - ETA: 33s - loss: 0.1595 - acc: 0.9350
171200/900000 [====>.........................] - ETA: 32s - loss: 0.1596 - acc: 0.9350
172600/900000 [====>.........................] - ETA: 32s - loss: 0.1594 - acc: 0.9351
174000/900000 [====>.........................] - ETA: 32s - loss: 0.1593 - acc: 0.9351
175300/900000 [====>.........................] - ETA: 32s - loss: 0.1592 - acc: 0.9352
176600/900000 [====>.........................] - ETA: 32s - loss: 0.1594 - acc: 0.9353
177900/900000 [====>.........................] - ETA: 32s - loss: 0.1596 - acc: 0.9352
179200/900000 [====>.........................] - ETA: 32s - loss: 0.1594 - acc: 0.9353
180500/900000 [=====>........................] - ETA: 32s - loss: 0.1595 - acc: 0.9353
